nama orang,geb/overl.,organ.,werkgebied en -soort,werkperiode,bijzonderheden,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,id
"Fischer, dr. Isaac Antoon, arts (N)", 1896 -1971,NZG,"Deli, geneesheer-directeur Zzh",1935-1936,> gouvernementsarts. Geb. te ,~ Nijmegen 1923: Hendrika Berendina Jansen,,,,,Pasuruan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404
"Fisher, Rev. Albert H. (VS)",,USA,Batavia,±1923-1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405
"Fisk, George Elba (VS)",1905-1977,C&MA,"Tanjung Selor, Kalimantan",1929-1947,1940-1946 in VS,~ Anna C. ..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406
"Flach, Gustav Johann, zdl. (Zwits.)",1908-,BM,Kuala Kurun (Zuid-Kalimantan),1937-1946,ook 1947-1960,~ Elisabeth Wittwer (1907-?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407
"Flach, J.C., arts (N)",1884-1964,ZGKN-MJ,"Purworejo, arts in Zzh > NL",1915-1936,"Rds MJ 861v; GZbl 1923, 10",~ 1911 G.J. de Walle † 1967,,,,1936,"IM GJdW: GZbl 1967, 159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408
"Flender, Wilhelm, zdl. (D)",1911-2000,RMG,Nias,1938-1940,1940 Ned. internering,~ ±1938 Elisabeth Daub,,,,,1947-58 docent Sem. Bar­men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409
"Flick, Alfred, zdl. (D)",1907-1979,NM/SZ,Bojonegoro,1933-1940,10-5-1940 Ned. internering,~ 1935 Lydia Heide,,,,,huwelijk te Ungaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410
"Flückiger, P., zdl. (Zwits.)",1895-1958,BM,Zuid-Kalimantan,1924-1932,> in binnenlandse dienst BM,~ 1924 Kl. Gasser (1896-1976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411
"Föhl, zr. W.M. (D? Zwits.?)",1884-1939,BM,"Kameroen, verpleegster",1913-1916,,,,,"Banjarmasin, verpleegster",1923-1939†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412
"Fokkema, Hetty (N)",1905-1986,VEG/RMG,"N-Sumatra, Missionsschwester",1936-1942,,,,RMG,"N-Sumatra, Missionsschwester",1947-1959,,,,RMG,"Karibi, ZW-Afrika (Namibia)",1960-1967,,,,,,,,,,,,,,,,,,,,,,,,,,413
"Fonkert, zr. H. (N)",1887-1966,ZGKN-MJ,"Purworejo, verpl. Zendingszh",1921,1922 ~ J.A. Hissink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414
"Fortgens, Jac., zdl (N)",1876-1955,UZV,Tobelo (Halmahera),1901-1911,"BLGNP III, 123v",~ (1) 1901 Constantia Adriani † 1932,,,Jailolo (Halmahera),1913-1921,verlof 1911-1913,~ (2) 1934 P. Reischle † 1975,,PKNI,"Ambon, STOVIL",1921,> Nederland,,,,Director internaat Zhuis Og,1923-1930,tevens docent Maleis,,,,,,,,,,,,,,,,,,,415
"Franken, Carl, zdl. (D)",1881-1942,NM/SZ,Tingkir (MJava),1913-1921,"> 1921 ""zdl te Peka­longan"" ",,,,,,† met de Van Imhoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416
"Frederiksen, K/C. (Skand.)",,LdH,"Rowiga, Palu-dal",1930-1937,,~ M. Broberg,,,Bandung en Palu-dal,1938-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417
"Freeman, Rev. Mark (VS)",1881-1959,EpMeth,Bangka,1911-1921,,"~ Gwen Jones, geb. 1890",,,"Palembang, superintendent",±1921-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418
"Freitag, Eduard, zdl. (D)",1903-1932,NM/SZ,Ungaran en Ambarawa,1930-1932,† te Ambarawa,"~ 1931 Ruth Pistor † 1997, d.v. Insp. Pistor",,,,,"RP hertrouwt, > Oost-Afrika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419
"Frickenschmidt, Chr.W., zdl. (D)",1856-1935,NLGIUZ,"Batu-eilanden, pionier-zdl.",1890-1922,,"~ (1) 1890 Kath. Ostermaier, † 1894",,,,,,~ (2) 1895 Pauline Teudt † 1937+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420
"Fries, Eduard, zdl. (D)",1877-1923,RMG,Nias,1903-1920,,~ Elfriede Winkler,,,Direktor RMG,1921-1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421
"Fries, Ms. Ruth M. (VS)",,,Batavia,1914,~ A.V. Klaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422
"Frouws, Jac., ond. (N)",1894-1933,ZGKN-MJ,"Solo, docent Chr. HIK",1926-,"IM GZbl 1933, 156-58",~ 1919 Petr. Sophia - Pruijs † 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423
"Fuchs, Nikolaus, zdl. (D)",1877-1931,RMG,Noord-Sumatra,1907-1928,,~ 1909 Adele Feldner † 1955,,,,,ZJB: Felder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424
"Gabriel, Carl, zdl. (D)",1880-1952,RMG,"Noord-Sumatra, zdl.",1908-1937,,~ 1910 Selma Haack † 1952 of 1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425
"Gaikhorst, T.A., ond. (N)",1883-,NZV,"Bandung, hoofd HCS Zending",1895-1923,,~ 1910 J.M. Pronk † 1965,,,"Bandung, dir. sek. pend. GI",1923-1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426
"Garnerus, Annette, ond. (D)",1889-..,RMG,"NSumatra, Missionsschwester",1912-1923,nam ontslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427
"Gazendam, zr. Grietje (N)",1891-1963,ZGKN-MJ,"MJava, verpleegster",1926-1939,"de Jong MJ 776, EndSumba",,,NICA,"Jakarta, KPM-ziekenhuis",1946-1948,werkt voor NICA,,,ZGKN-S,"Sumba, tijd. verpleegster",1948-1949,1950 gerepatrieerd,,,,,,,,,,,,,,,,,,,,,,,,,428
"Geer, jvr. zr. J.M. de, diacones (N)",1878-1945,NZG,"Sonder (Min), hoofd hh Zzh",1919-1926,zie Mblad SZC 1919-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429
"Geerdink, A., zdl (N)",1829-1878,NZV,Cianjur (WJava),1865-1870,,~ 1864 Susanna Corn. Bliek (1830-1912),,NZV,Bandung,1870-1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430
"Geerse-Matze, P.I., zie Matze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431
"Gehrels, C.A., arts (N)",1881-1921,ZGKN-MJ,"Wonosobo, arts in Zzh",1916-1921,"GZbl 1921, 137 (IM), 141",~ 1911 Cornelie Winckel (1887-1960),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432
"Geissler, Gustav A.W., zdl, (N)",1865-1935+,GIUZ?,"Patekoan (Batavia), predikant",1891-1902,> hp GPI. z.v. J.G. Geissler,~ M.M. Baltin,,,,,Zie Selm 491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433
"Geissler, J.G. zwm (D)",1830-1870,ZWM/UZV,Mansinam (Papua),1855-1869,"Kamma Ajaib I, Reen­ders 377",~ 1862 Ternate: J.P. Reijnaert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434
"Gelder, zr. C.J.M. van (N)",,DZV,"Kelet, MJava, verpleegster",1937-1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435
"Geleijnse, ds. M. (N)",1893-1985,ZCGK,Mamasa (West-Celebes),1931-1942/56,,~ 1917 Lena Corn. van As (1890-1972),,,Makassar,1956-1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436
"Genderen, zie van den Hoven van Genderen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437
"Gennip, Hindrik Doewes v., zdl (N)",1822-1866,CAG,Hongkong,1852-1853,,~ 1863 Willemina Schepman † 1868,,,"Batavia, Surabaya",1853-1857,Wikipedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438
"Gericke, G.F.A., zdl. (D)",1801/2-'34,NZG,"Ambon, tevens wnd pred.",1832-1834,,~ 1826 A.M. Oudshoff † 1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439
"Gericke, J.F.C. (D)",1799-1857,NBG,Solo (MJava),1827-1857,Swellengrebel I 49-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440
"Gericke, Paul A., zdl. (D)",1865-1926,NM/SZ,Ambarawa,1897-1899,"Cma 190-4, 204",~ 1899 Anna Stein † 1940,,,"Purwodadi, Tingkir",1900-1926,huwelijk te Ambarawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441
"Gericke, Wilhelm Ed. Friedr., zdl (D)",1863-1940,RMG,Noord-Sumatra,1889-1913,huwelijk te Gunung Sitoli,~ 1892 Clara Fred. Müller † 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442
"Gerlach, Georg, zdl (D)",1885-1946?,BM,Zuid-Kalimantan,1927-1940,,~ 1928 H. Lange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443
"Giezendanner, zr. Elise (Zwits.)",1906-1997,BM,"Kuala Kapuas, verpleegster",1935-1946,ook 1947-1952/1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444
"Gijsman, P.N., zdl (N)",1844/5-1919,NZV,Cianjur (WJava),1870-1872,zie EndWJava 778,~ 1869 D. Bellaart (1841-1919),,,Sukabumi,1872-1880,"> studie theologi, pred. NHK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445
"Gillis, Walter Emslie (Canada)",1974-1954,SDA,"China, Malaysia, Korea",1910-1940,bron: ESDA,~ 1900 Helen Agnes Chadwick † 1953,,,Nederlands-Indië,1940-1941,> VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446
"Gink, zr. J.M. van (N)",1881-1965,NZG,"Mojowarno (OJava), verpl.",1912-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447
"Ginsberg, Gustav, zdl. (D)",1872-1943,RMG,Noord-Sumatra,1901-1913,> werkzaam in Duitsland,~ 1903 Mathilde Elise Forneberg † 1945,,,,,~ Sibolga 13-6-1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448
"Glastra, zr. M. (N)",1899-1985,NZG,"Yapen/Korido, vroedvrouw",1930-1940,Dake 31-54,,,,Nias (ZNB),1940-1942,,,,VNZ,"Papua, verpleegster",1947-1950,,,,,,,,,,,,,,,,,,,,,,,,,,449
"Gnirrep, Anna (N)",,Pent.,"Batavia, evangeliste",1922-1930,ZJB; Laan 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450
"Godau, Anna Rosine (D)",1888-,RMG,"NSumatra, Missionsschwester",1920-1922,"~1922 A . Jäckle (Zwits.), han­de­laar voor de RMG te Sibolga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451
"Godwin, Mrs. (VS)",,EpMeth,"Bogor, Princ. English Girl School",1906-1908,ontslag wegens ziekte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452
"Goedhart, C., arts (N)",,DZV,"Kelet, tijd. arts",1940-1942,'geleend' van de ZGKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453
"Goemaat, Louise (N)",1904-1992,ZGKN-MJ,"Solo, evang. onder vrouwen",1931-1943,"zie L. G., Onder Javaanse vrou-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454
"(GZbl 1931, 198; 1937, 217)",,,"Semarang, Banyumas Sel., idem",1949-1955,"­wen; De Jong, MJ 794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455
"Goes, Wilhelmus van der, zwm (N)",1823-1879?,ZWM,"ambtenaar, tevens evangelist",1848-1875,Reenders AZ 377v,~ 1846 Johanna Adriana Robbers (1824-1874),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456
"Goetsch, August W.F., zdl (D)",1844-1870,RMG,Noord-Sumatra,1870,† kort na aankomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457
"Gokkel, zr. Aletta Maria (N)",1874-,ZGKN-MJ,"Yogya, hoofdverpl. Zzh",1904-1926,verpl. in NL. Reenders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458
"Gonggrijp, Justus R.P.F., zdl (N)",1827-1909,NZG,"Semarang, 1851, nam ontslag",1849-1851,Kruijf 184,~ (1) 1849 M. van der Sanden † 07-09-1854,,,dir. weeshuis Semarang,1851-1854,,~ (2) 29-11-'55 Maria Cornelia Wolvekamp,,PKNI,hp te Depok (PKNI),1854-1864,,,,,,,,,,,,,,,,,,,,,,,,,,459
1831-1861),,,"docent Maleis en Sundanees ad Indische Instel­ling, Delft",1864-1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460
"Goossen, zr. Helena (Rusland)",1889-1945,DZV,verpl. in MJava ten Noorden,1911-1942/43,1922 ~ K.P.C.A. Gramberg. Jensma 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
"Goossens, ds. S.J.P. (N)",1902-1983,ZGKN-S,"Oost-Sumba, miss. pred.",1931-1939,"GZbl 1931, 47. Ontslagen, in ","~1927 H.R. Wuestman, (1901-1998)",,ZGKV,> miss. pred. GKV,1949-1949,1946 uitgezonden door de GKV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462
"Goris, mw. A.M., ond. (N)",,STC,"Tahuna (Sangihe), Z-HIS",1927-1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463
"Gort, zr. G. (N)",1897-,ZGKN-MJ,"Solo, hoofdverpleegster Zzh ",1930-1939,"Rds MJ 862; GZbl 1930, 96v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464
"Goslinga, J.J.J., arts (N)",1906-1987,GZB,"Rantepao en Palopo, Celebes",1934-1947,1947-50 opl. chirurgie in NL,~ 1934 J. Gerritsen † 2000,,,"Rantepao, arts Zzh",1950-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465
"Gotschall, Newton I., ond. (VS)",1893-1979,EpMeth,"Medan, Principal Engl. Boys ",1920-1935,"> pred. in VS, 1949 -55 zdl op ",~ L. Schwank,,,School,,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466
"Göttin, J.W. (Zwits.)",,BM,"Mengkatip, zdl en diakon",1928-1946,1954-1956 weer in Zuid-Kal.,~ 1929 Frida Fazis (1899-1967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467
"Goudoever, J. van, ond. (N)",1900-1962,NZG,"Probolinggo, dir. Chr. HIK",1931-1934,< eerder te Weltevreden,~ 1921 G. Wismeyer † 1966,,GKB_SZC,"Solo, dir. Chr. HIK",1934-1942,"GZbl 1936, 201-2; IM Zblad NHK 1963-2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468
"Goudswaard, A., zdl (N)",1830-1864,NZG,Bantaeng (Z-Celebes) ,1854-1864 †,Kruijf 442-445,~ 1856 Elizabeth Wijnmalen † R'dam 1901,,,,,huwelijk te Makassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469
"Gouweloos, M.J., zdl (N)",1898-1942,NZV,"Taubonto (Rumbia, ZO-Cel)",1921-1930,"verlof 1930-31, 1938-39","~ 1921 C. Gaarkeuken, † 1972",,,Kendari,1931-1942 †,gedood door Japanse soldaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470
"Graaf, zr. Adriana Anneke de (N)",1906-1974,ZGKN-MJ,"Yogya, Wonosobo, verpleegster",1938-1940,"GZbl 1938, 188. ~ 1940/1 WJ Zwart, ond. HCS te Wonosobo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471
"Graaf, C. de, zdl (N)",1846-1905,UZV,Soa Konora (Halmahera),1873-1876,,~ 1872 Adriana Josina Kooman † 1931,,,Ternate,1876-1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472
"Graaf, zr. Car. Louise de (N)",-1962,ZGKN-MJ,"Kebumen, hoofdverpl. Zzh",1919-1925,"Rds MJ 862; GZbl 1926, 135; 1928, 185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473
"Graaf, dr. H.J. de, ond. (N)",1899-1984,GKN+SZC,"Solo, ond. Chr. HIK",1935-1942,1946-1950 lektor UI. IM in ,~ C.J. Mekkink (1903-1986),,,,,"BKITLV 141, p. 191vv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474
"Graaf, K. de, zdl (N)",1909-1944,NZG,Probolinggo,1934-1940,,~ G. Sinnema † 1980,,,Mojowarno,1940-1942,> Jap. internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475
"Graafland, N., ond. (N)",1827-1898,NZG,Sonder (Minahasa),1851-1854,"Kruijf 354, 681;Kroes­kamp",~ (1) 1849 D.C. Wesseling † maart 1861,,,Tanawangko (Min) + guru-opl.,1854-1871,verlof 1864,~ (2) sept. 1861 Am.Fr. Paulina Riedel,,,"Tanawangko, leider guru-opl. ",1871-1883,ziekteverlof 1880-81,,,,,,,,,,,,,,,,,,,,,,,,,476
"Graafstal, Dominicus (N)",1871-1927,ZDB,Gambang Waluh,1903-1911,tot 1902 sergeant KNIL,~ 1903 Sara Maria van der Steur (1868-1962),,,Temanggung/Pangungsen,1912-1927,~ te Haarlem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477
"Graafstal-vd Steur, S.M. (N)",1868-1962,ZDB,Gambang Waluh/Temanggung,1903-1942,"zuster van, Joh. van der Steur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478
"Gräb, Karl Ludwig (Belgia)",1873-1939,RMG,"Noord-Sumatra, zdl.",1901-1919,,~ Frieda Gumbel † 1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479
"Gräber, Ida (D)",1980-1953,RMG,"NSumatra, Missionsschwester",1921-1938,"terug naar, Dld",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480
"Gramberg, K.P.C.A., arts (N)",1895-1996,DZV,"Kelet, MJava, 1943-45 kamp",1921-1947,Jensma 95vv,~ (1) 1922 Helena Goossen (1889-1945),,,,,HG: † 23-08-1945,"~ (2) A.G. Helders, arts (1916-2009)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481
"Gramberg, ds. Th.W.B.G. (N)",1897-1983,NZG,"Malan, zdl",1931-1937,Swellengrebel,~ 1928 A.M.C. van der Hoeven † 2003,,NZG,"Bali, tevens wnd pred. GPI",1937-1940,opnieuw begin 1942,,,,Tapanuli,1940-1941,1942-1945 geïnterneerd,,,,Bali,1945-1950,,,,,Srilanka,1952-1960,,,,,,,,,,,,,,482
"Grashuis, mr. Gerhardus Jan(N)",1835-1920,NZV,"Bandung, bijbelvertaler",1863-1865,,~ (1) Charlotta Barlinckhoff † 1886,,,"in NL, bijbelvertaler",1865-1868,,~ (2) Des. 1886 Johanna Roemer † sept. 1887,,,"BB-ambtenaar, parlementslid",1868vv,,~ (3) Des. 1887 Helena P.M. Verhaar † 1944,,,,,,,,,,,,,,,,,,,,,,,,483
"Grau, W. zdl (D)", 1886-1924,STC,Tahulandang (Sangihe),1921-1924†,eerder in Ghana (BM),~ 1917 Clara O. Breuninger (1889-1946),,,,,† tijdens zeereis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484
"Graumann, Wilhelm (D)",1906-2000,RMG,Lintong ni Huta (Tapanuli ),1937-1940,1940 geïnterneerd,~ 1939 Irma Gläntzer (1909-1995),,,,,eerder verpleegster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485
"Griebenow, Ms. Viola M. (VS)",,C&MA,Makassar enz.,1931-1933,zie ook Walter M. Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486
"Griffin, David (VS)",,WWCC,"Sumatra, Suku Dalam (Lahat)",1933-±1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487
"Grim(m), Johan(n) P., zwm (D)",1812-1857,ZWM,"Btv, Chinezen en Moslims",1852-1857,1829-37 militair in Ned.-Indië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488
ongehuwd gebleven,,,,,Rds AZ 378; L. Cachet 173-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489
"Groep, Jacob van de (N)",1885-1977,SDA,"Java, Australië, Singapore, Java",1908/1915,ESDA,~ (1) 1909 Joh. Cath. van de Hout † 1946,,,colporteur chr. lectuur,,,~ (2) Hillegonda van Leeuwen (1905-1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490
"Groesbeek, Cornelis (VS)",1874-1953,Pent.,Bali,1921-19,1926-1930 in VS,"~ 1899 Maria Magd. van de Weg, (1877-1934)",,,Cepu (Oost-Java),1922-1926,"~ te Dordrecht, NL",,,,Srb-Magelang-Solo,1930-1938,1926-30 VS (Seattle),,,,Surabaya,1939-1942,Feb. 1942 naar VS,,,,Surabaya,1947-1949,terug naar Seattle (VS),,,,,,,,,,,,,491
"Grohe, A., zwm (D)",1825-1891,ZWM,Siau (NCel),1855-1870,"Reenders 285vv, 378",~ 11-10-1860 Johanna Lorenz,,,Tamako (Sangihe),1870-1884,~ te Manado,,,,Tahulandang (Sangihe),1884-1891,,,,,,,,,,,,,,,,,,,,,,,,,,492
"Grondel, Pieter Joh., zdl (N)",1901-1955,UZV,Kwawi (Papua),1925-1942,IM Zblad NHK 1956-1; zie ook ,~ 1925 Adriana Helena Zuidweg (1894-1950),,,> NL,1946,NZblad 1950-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493
"Grondsma, zr. Hilly (N)",1898-1942/5,ZGKN-MJ,"Klaten, hoofdverpleegster Zzh",1929-1941,"de Jong MJ 776l GZbl 1919, 244; 1936, 138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494
"Groot, Albertus Karel de, zdl. (N)",1896-1975,NZV,Cideres (WJava),1921-1928,verlof 1928-29,~ 1921 Wilh. Fred. Eekhart (1891-1983),,,Mr. Cornelis/Jatinegara,1929-1942,verlof 1938-39,,,,Japanse internering,1942-1945,,,,,Jakarta,1946-1956,1951-56 pred. GPI,,,,,,,,,,,,,,,,,,,495
"Groot, J.H. de, zdl (N)",1891-1973,NZV,Garut (WJava),1918-1919,,~ 1917 Maritta Hobma † 1973,,,"Bandung, doc. opl. ond. en HIS",1919-1934,"verlof 1925-26, 1932-33",,,,"Bogor/Batavia, docent HThS",1934-1947,1942-45 intern. > pred. NHK,,,,,,,,,,,,,,,,,,,,,,,,,496
"Groot, dr. Klaas Pieter, arts (N)",1888-1965,ZGKN-MJ,"Solo, arts (1921 dir.) Zzh",1918-1930,"Rds MJ 862v; GZbl 1918, 166;",~ (1) 1917 Neeltje Boot (1887-1931),,,"Yogya, 1930-1942 gen.dir. Zzh",1930-1943,192. Pas in mei 1943 geïntern.,~ (2) 1932 M. Oldeboom † 1991,,,> NL,1946,"GZbl 1965, 107",,,,,,,,,,,,,,,,,,,,,,,,,497
"Groot, zr. W.M. de (N)",1907-1998,SZ,"Purwodadi, verpleegster Zzh",1936-1939,~ 1939 te Srb J. Meijerink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498
"Grootendorst, zr. G., zie G. Voordouw-Grootendorst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499
"Guillaume, Henri Alouis zdl (D)",1865-1930,NZG,Sibolga (Westkust N-Sumatra),1893-1899,> werkt voor RMG in Dld,~ 1897 A. Mohri † 1954,,RMG,Bukum (Deli),1899-1905,,,,RMG,Purba (Deli),1905-1909,verlof 1909-1912,,,RMG,Seribudolok (Deli),1912-1927,IM NZblad 1930-6,,,,,,,,,,,,,,,,,,,500
"Gunther, P., zwm (N)",1833-1888,ZWM/STC,Mangarang (Talaud) ,1859-1888 †,"Reenders 294v, 378; Cma 658",~ 1868 Rosalina Semawi,,,,,~ Manado 19-8-1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501
"Güse, Theodor, arts (D)",1904-1936,RMG,"Tapanuli, Zendingsarts",1935-1936,beiden † tgv auto-ongeluk op,~ Hildegard [Windhorst?] † 1936,,,,,16 augustus 1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502
"Guther, Ferdinand, verpleger (D)",1905-1990,RMG ,"Tarutung, diakon, admin. Zzh",1931-1940,,"~ 1931 Helena Beck, geb. 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503
"Gützlaff, Karl Fr. A. (D)",1803-1851,NZG,"Riau, org Tionghoa (+ wnd pr.)",1826-1828,Kruijf 249v,~ (1) Maria Newell † 1831,,,Bangkok (Muangthai),1828-1831,,~ (2) Mary Wanstall † 1849 te Singapore,,,Macao/China/Hongkong,1831-1851,,,,,,,,,,,,,,,,,,,,,,,,,,504
"Haaft, Dirk Albertus ten, zdl (N)",1908-1988,UZV,"Miei, Biak-Numfor, Serui, Biak ",1931-1942,verlof 1938-39,~ 1931 J. van der Vat † 1984,,,Biak,1945-1947,1942-45 Jap. internering,,,,"Biak, schoolbeh., wnd pred.",1955-1959,,,,,,,,,,,,,,,,,,,,,,,,,,505
"Haag, Pieter Bernardus, zdl (N)",1844-1925,GIUZ/JC,Batavia,1876-1898,"> PKNI, godsdienstleraar",~ ( 1) 1876 Catharina Corn. Aarssen † 1887,,,,,"Lion Cachet, 222-224",~ (2) 1890 Mathilde Idzardi (geb. 1858),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506
"Haan, A. de, zdl (N)",1854-1921,NZV,Sumedang (WJava),1881-1890,,~ (1) 1880 Tannetje Danens † nov. 1886,,,Cideres (WJava),1890-1892,verlof 1892-94,~ (2) 1890 Christina Fred. Vögler † 1934,,,Bogor (WJava),1894-1905,~ te Batavia,,,CmDepok,"Depok (WJava), dir. Sem. Depok",1905-1920,,,,,,,,,,,,,,,,,,,,507
"Haan, Enno, zdl (N)",1845-1898,ZCGK,Batavia (Jemaat Kwitang),1874-1883,> pred. in NL en VS,~ 1873 Kristina Krijgsman † 1918,,,,,L. Cachet 132-40; Algra 16-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508
"Haan, J.G. de, zdl (N)",1876-1959,NZG,Sonder (Min) > hp,1903-1904,,~ 1903 G.W. Hofman † 1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509
